year,milestone_en,milestone_de,row_type,bundestag_vote_date,description,proactive_allies,stalled_opposed,roll_call,individual_votes_source,btvote_vote_id,aw_poll_id,result_yes,result_no,result_abstain,in_force_date,notes
1969,Partial decriminalization of Paragraph 175,1. Strafrechtsreformgesetz (1. StrRG),milestone,1969-05-09,"Lowered age of consent and decriminalized adult consensual male homosexuality.","SPD, FDP","Conservative factions",yes,btvote,5014,,270,63,0,1969-09-01,"Roll call on final passage of the 1. StrRG which contained the Paragraph 175 reform. Related roll calls in the same reform package: BTVote 5013 (1969-05-07) and 5015 (2. StrRG, 1969-05-09)."
1973,Sexual criminal law reform (age of consent),4. Strafrechtsreformgesetz (4. StrRG),additional_milestone,1973-06-07,"Further reform of sexual criminal law; lowered the age of consent for homosexual acts to 18.","SPD, FDP","CDU/CSU",yes,btvote,7003,,264,209,1,1973-11-28,"Added as enrichment; not in the original milestone table."
1980,Transsexuals Act,Transsexuellengesetz (TSG),milestone,,"First law allowing legal name and gender marker changes (though originally requiring psychiatric evaluations).","SPD, FDP","Conservative factions",no,none,,,,,,1981-01-01,"Law of 10 Sep 1980. No roll-call vote took place, so no individual voting record exists (confirmed against the complete BTVote roll-call inventory 1949-2021)."
1994,Full abolition of Paragraph 175,29. Strafrechtsaenderungsgesetz,milestone,1994-03-10,"Completely erased Paragraph 175 from the German Criminal Code.","All-party consensus (post-reunification legal unification)","Conservative traditionalists (delayed until unification)",no,none,,,,,,1994-06-11,"Law of 31 May 1994. Final passage was not a roll-call vote; no individual voting record exists."
2001,Registered life partnerships,Eingetragene Lebenspartnerschaft (LPartG),milestone,2000-11-10,"Created the first civil union status for same-sex couples.","SPD, The Greens","CDU/CSU, FDP (at the time)",no,none,,,,,,2001-08-01,"Bundestag passed the LPartG on 10 Nov 2000 (law of 16 Feb 2001) WITHOUT a roll call - BTVote records no roll-call vote between 27 Oct and 28 Nov 2000. Per-politician YES/NO tables circulating for this vote are party-line inference, not recorded votes."
2004,Life partnership revision act,Gesetz zur Ueberarbeitung des Lebenspartnerschaftsrechts,milestone,2004-10-29,"Expanded civil partnership rights to include step-child adoption, maintenance rights, and equalized public pensions.","SPD, The Greens","CDU/CSU",no,none,,,,,,2005-01-01,"No roll-call vote; no individual voting record exists."
2006,General Equal Treatment Act,Allgemeines Gleichbehandlungsgesetz (AGG),milestone,2006-06-29,"Banned discrimination in employment, housing, and civil law based on sexual identity.","SPD, The Greens","CDU/CSU, business lobbies",yes,btvote,16021,,443,110,17,2006-08-18,"Roll call: 443 yes / 110 no / 17 abstain (BTVote, from Bundestag protocols). The Bundestag's own press archive reports the PRELIMINARY result as 443 / 111 / 17, so the no count differs by one between preliminary and final record. Note: widely circulated figures of 424 yes / 156 no do not match either. FDP voted against as a bloc; 18 CDU/CSU MPs voted no."
2012,Right to marriage for same-sex couples (rejected),Recht auf Eheschliessung fuer Personen gleichen Geschlechts,related_failed_vote,2012-06-28,"Opposition motion to open marriage to same-sex couples; rejected by the governing majority.","SPD, The Greens, Die Linke","CDU/CSU, FDP",yes,abgeordnetenwatch,17201,929,,,,,"Failed attempt included as enrichment. Individual votes in votes_selected.csv (poll 929)."
2014,Successive adoption amendment (rejected),Aenderungsantrag Sukzessivadoption durch Lebenspartner,related_failed_vote,2014-05-22,"Green amendment to extend adoption rights for registered partners beyond the constitutional court minimum; rejected.","The Greens, Die Linke","CDU/CSU, SPD (as coalition)",yes,abgeordnetenwatch,18020,1048,,,,,"Failed attempt included as enrichment. Individual votes in votes_selected.csv (poll 1048)."
2017,Marriage for all,Ehe fuer alle,milestone,2017-06-30,"Opened civil marriage and full joint adoption rights to same-sex couples.","SPD, The Greens, Die Linke, FDP (plus 75 CDU/CSU MPs on conscience vote)","CDU/CSU leadership",yes,"abgeordnetenwatch, btvote",18213,1232,393,226,4,2017-10-01,"Official result 393 yes / 226 no / 4 abstain. Free (conscience) vote. Individual votes in votes_selected.csv (poll 1232) and btvote_votes_selected.csv (vote 18213)."
2017,Rehabilitation and compensation for Paragraph 175 convictions,Gesetz zur strafrechtlichen Rehabilitierung (StrRehaHomG),milestone,2017-06-22,"Officially overturned post-WWII convictions under Paragraph 175 and provided financial compensation for surviving victims.","SPD, The Greens, Die Linke, FDP, CDU/CSU","Minor far-right factions",no,none,,,,,,2017-07-22,"Passed unanimously without a roll call; no individual voting record exists."
2018,Third gender option (divers),Drittes Geschlecht im Personenstandsrecht,milestone,2018-12-13,"Created a legal third gender entry on birth certificates and identity documents for intersex individuals.","SPD, The Greens, Die Linke, FDP (enacted by CDU/CSU-SPD coalition following Constitutional Court ruling)","Conservative traditionalists",no,none,,,,,,2018-12-22,"No roll-call vote; no individual voting record exists."
2020,Ban on conversion therapy for minors,Verbot von Konversionsbehandlungen,milestone,2020-05-07,"Outlawed pseudo-scientific conversion therapies for under-18s and banned advertising them.","SPD, The Greens, Die Linke, FDP, CDU/CSU","Far-right factions",no,none,,,,,,2020-06-24,"Passed without a roll call; no individual voting record exists. Per-politician YES/NO tables for this vote are inference, not recorded votes."
2021,Repeal of Transsexuals Act / self-determination (rejected),Aufhebung des Transsexuellengesetzes und Einfuehrung des Selbstbestimmungsgesetzes,related_failed_vote,2021-05-19,"Green/FDP bills to replace the TSG with a self-determination law; rejected by the CDU/CSU-SPD majority.","The Greens, FDP, Die Linke","CDU/CSU, SPD (as coalition), AfD",yes,abgeordnetenwatch,19228,4146,,,,,"Failed attempt included as enrichment; precursor of the 2024 SBGG. Individual votes in votes_selected.csv (poll 4146). Also exists in BTVote as vote 19228 if a cross-check is ever wanted, but it was not extracted."
2023,Abolition of blood donation restrictions,Aufhebung der Blutspende-Beschraenkungen,milestone,2023-03-16,"Removed discriminatory deferral periods for gay/bisexual men and trans individuals donating blood.","SPD, The Greens, FDP","Conservative health spokespersons",no,none,,,,,,2023-09-01,"Change to the Transfusion Act passed within a broader health law without a roll call on this provision; the medical guideline followed in Sep 2023. No individual voting record exists."
2024,Self-Determination Act,Selbstbestimmungsgesetz (SBGG),milestone,2024-04-12,"Replaced the 1980 TSG, allowing trans, intersex, and non-binary people to update their name and gender marker via simple self-declaration.","SPD, The Greens, FDP, Die Linke","CDU/CSU, AfD",yes,abgeordnetenwatch,,5496,372,251,11,2024-11-01,"Official roll call: 372 yes / 251 no / 11 abstain (verified against bundestag.de, matches the collected data exactly). Note: circulating figures of 408 yes / 272 no do not match the official record. Individual votes in votes_selected.csv (poll 5496)."
