poll_id,date,legislature_id,legislature,title,accepted,url
652,2006-05-19,67,Bundestag 2005 - 2009,Erhöhung der Mehrwertsteuer,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/erhoehung-der-mehrwertsteuer
658,2006-06-01,67,Bundestag 2005 - 2009,Bundeswehreinsatz im Kongo,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/bundeswehreinsatz-im-kongo
660,2006-06-01,67,Bundestag 2005 - 2009,Anpassung und Veränderung von Hartz IV,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/anpassung-und-veraenderung-von-hartz-iv
654,2006-06-29,67,Bundestag 2005 - 2009,Antidiskriminierungsgesetz,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/antidiskriminierungsgesetz
655,2006-06-30,67,Bundestag 2005 - 2009,Föderalismusreform,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/foederalismusreform
661,2006-09-28,67,Bundestag 2005 - 2009,Verlängerung des Afghanistan-Einsatzes (ISAF),True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/verlaengerung-des-afghanistan-einsatzes-isaf
663,2006-10-26,67,Bundestag 2005 - 2009,EU-Beitritt Bulgariens und Rumäniens,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/eu-beitritt-bulgariens-und-rumaeniens
659,2006-11-10,67,Bundestag 2005 - 2009,Verlängerung des Anti-Terror-Einsatzes (OEF),True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/verlaengerung-des-anti-terror-einsatzes-oef
662,2007-02-02,67,Bundestag 2005 - 2009,Gesundheitsreform,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/gesundheitsreform
664,2007-03-09,67,Bundestag 2005 - 2009,Tornado-Einsatz,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/tornado-einsatz
665,2007-03-09,67,Bundestag 2005 - 2009,Rente mit 67,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/rente-mit-67
668,2007-05-25,67,Bundestag 2005 - 2009,Unternehmenssteuerreform,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/unternehmenssteuerreform
667,2007-06-14,67,Bundestag 2005 - 2009,Mindestlöhne (Antrag Die Linke.),False,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/mindestloehne-antrag-die-linke
669,2007-06-14,67,Bundestag 2005 - 2009,Fortsetzung des Bundeswehreinsatzes in Darfur,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/fortsetzung-des-bundeswehreinsatzes-in-darfur
670,2007-06-14,67,Bundestag 2005 - 2009,Aufenthalts- und Asylrecht,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/aufenthalts-und-asylrecht
653,2007-06-21,67,Bundestag 2005 - 2009,Verlängerung Kosovo-Einsatz,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/verlaengerung-kosovo-einsatz
671,2007-06-22,67,Bundestag 2005 - 2009,Emissionshandel,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/emissionshandel
682,2007-09-12,67,Bundestag 2005 - 2009,Verlängerung Libanon-Einsatz,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/verlaengerung-libanon-einsatz
679,2007-10-12,67,Bundestag 2005 - 2009,"Verlängerung Afghanistan-Einsatz (ISAF, Tornado)",True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/verlaengerung-afghanistan-einsatz-isaf-tornado
685,2007-11-09,67,Bundestag 2005 - 2009,Vorratsdatenspeicherung,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/vorratsdatenspeicherung
687,2007-11-15,67,Bundestag 2005 - 2009,Verlängerung des Anti-Terror-Einsatzes (OEF),True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/verlaengerung-des-anti-terror-einsatzes-oef-0
686,2007-11-16,67,Bundestag 2005 - 2009,Diätenerhöhung,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/diaetenerhoehung
666,2007-12-14,67,Bundestag 2005 - 2009,Postmindestlohn,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/postmindestlohn
688,2008-02-06,67,Bundestag 2005 - 2009,Änderung des Stammzellgesetzes,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/aenderung-des-stammzellgesetzes
689,2008-04-24,67,Bundestag 2005 - 2009,EU-Vertrag von Lissabon,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/eu-vertrag-von-lissabon
690,2008-05-30,67,Bundestag 2005 - 2009,Bahnprivatisierung,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/bahnprivatisierung
691,2008-06-05,67,Bundestag 2005 - 2009,Verlängerung Kosovo-Einsatz,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/verlaengerung-kosovo-einsatz-0
695,2008-09-17,67,Bundestag 2005 - 2009,Verlängerung Libanon-Einsatz,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/verlaengerung-libanon-einsatz-0
696,2008-09-17,67,Bundestag 2005 - 2009,Fortsetzung des Darfur-Einsatzes,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/fortsetzung-des-darfur-einsatzes
697,2008-09-25,67,Bundestag 2005 - 2009,Rückkehr zur alten Pendlerpauschale,False,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/rueckkehr-zur-alten-pendlerpauschale
699,2008-10-16,67,Bundestag 2005 - 2009,Verlängerung Afghanistan-Einsatz (ISAF),True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/verlaengerung-afghanistan-einsatz-isaf
700,2008-10-17,67,Bundestag 2005 - 2009,Banken-Rettungspaket,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/banken-rettungspaket
702,2008-11-12,67,Bundestag 2005 - 2009,BKA-Gesetz,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/bka-gesetz
701,2008-11-13,67,Bundestag 2005 - 2009,Verlängerung des Anti-Terror-Einsatzes (OEF),True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/verlaengerung-des-anti-terror-einsatzes-oef-1
703,2008-11-26,67,Bundestag 2005 - 2009,Erbschaftssteuerreform,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/erbschaftssteuerreform
704,2008-11-28,67,Bundestag 2005 - 2009,Haushalt 2009,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/haushalt-2009
706,2008-12-04,67,Bundestag 2005 - 2009,Familienleistungsgesetz,False,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/familienleistungsgesetz
707,2008-12-19,67,Bundestag 2005 - 2009,Kampf gegen Piraten,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/kampf-gegen-piraten
708,2009-01-22,67,Bundestag 2005 - 2009,Mindestlohn für sechs weitere Branchen,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/mindestlohn-fuer-sechs-weitere-branchen
711,2009-01-22,67,Bundestag 2005 - 2009,Mindestarbeitsbedingungen,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/mindestarbeitsbedingungen
715,2009-03-20,67,Bundestag 2005 - 2009,Enteignung von Banken,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/enteignung-von-banken
716,2009-05-13,67,Bundestag 2005 - 2009,Beratungspflicht bei Spätabtreibungen,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/beratungspflicht-bei-spaetabtreibungen
717,2009-05-13,67,Bundestag 2005 - 2009,Anbauverbot von Genmais,False,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/anbauverbot-von-genmais
718,2009-05-28,67,Bundestag 2005 - 2009,Verlängerung Kosovo-Einsatz,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/verlaengerung-kosovo-einsatz-1
720,2009-05-28,67,Bundestag 2005 - 2009,Abgabe von künstlichem Heroin an Schwerstabhängige,True,https://www.abgeordnetenwatch.de/bundestag/16/abstimmungen/abgabe-von-kuenstlichem-heroin-an-schwerstabhaengige
