poll_id,mandate_id,politician,fraction,vote
6388,69002,Armand Zorn,SPD,yes
6388,69000,Vanessa-Kim Zobel,CDU/CSU,yes
6388,68999,Jörg Zirwes,AfD,no
6388,68998,Nicolas Zippelius,CDU/CSU,no_show
6388,68997,Diana Zimmer,AfD,no
6388,68996,Stefan Zierke,SPD,yes
6388,68995,Paul Ziemiak,CDU/CSU,yes
6388,68994,Kay-Uwe Ziegler,AfD,no
6388,68993,Emmi Zeulner,CDU/CSU,no_show
6388,68992,Anne Zerr,Die Linke,no
6388,68991,Daniel Zerbin,AfD,no
6388,68990,Christian Zaum,AfD,no
6388,68989,Serdar Yüksel,SPD,yes
6388,68988,Mareike Lotte Wulf,CDU/CSU,yes
6388,68987,Alexander Wolf,AfD,no
6388,68985,Mechthilde Wittmann,CDU/CSU,yes
6388,68986,Janine Wissler,Die Linke,no
6388,68984,Christian Wirth,AfD,no
6388,68983,Tina Winklmann,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68982,Tobias Winkler,CDU/CSU,yes
6388,68981,Elisabeth Winkelmeier-Becker,CDU/CSU,yes
6388,68980,Johannes Winkel,CDU/CSU,yes
6388,68979,Klaus-Peter Willsch,CDU/CSU,yes
6388,68978,Christin Willnat,Die Linke,no_show
6388,68977,Dirk Wiese,SPD,yes
6388,68976,Klaus Wiener,CDU/CSU,yes
6388,68975,Wolfgang Wiehle,AfD,no
6388,68974,Johannes Wiegelmann,CDU/CSU,yes
6388,68973,Kai Whittaker,CDU/CSU,yes
6388,68972,Sven Wendorf,AfD,no
6388,68971,Maria-Lena Weiss,CDU/CSU,yes
6388,68970,Claudia Weiss,AfD,no
6388,68969,Anja Weisgerber,CDU/CSU,yes
6388,68968,Mathias Weiser,AfD,no
6388,68967,Alice Weidel,AfD,no
6388,68966,Carmen Wegge,SPD,yes
6388,68965,Nina Warken,CDU/CSU,yes
6388,68964,Daniel Walter,SPD,yes
6388,68963,Maja Wallstein,SPD,yes
6388,68962,Siegfried Walch,CDU/CSU,yes
6388,68961,Sascha Wagner,Die Linke,no
6388,68960,Johannes Wagner,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68959,Carolin Wagner,SPD,yes
6388,68958,Robin Wagener,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68957,Niklas Wagener,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68956,Johann Wadephul,CDU/CSU,no_show
6388,69047,Mayra Vriesema,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68955,Dirk Vöpel,SPD,yes
6388,69001,Ulrich von Zons,AfD,no
6388,68919,Beatrix von Storch,AfD,no
6388,68917,Christian von Stetten,CDU/CSU,yes
6388,68771,Konstantin von Notz,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68954,Marja-Liisa Völlers,SPD,yes
6388,68952,Sarah Vollath,Die Linke,no
6388,68951,Johannes Volkmann,CDU/CSU,yes
6388,68950,Donata Vogtschmidt,Die Linke,no
6388,68949,Oliver Vogt,CDU/CSU,yes
6388,68948,Ingo Vogel,SPD,yes
6388,68947,Kerstin Vieregge,CDU/CSU,yes
6388,68946,Julia Verlinden,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68945,Isabelle Vandre,Die Linke,no
6388,68415,Sascha van Beek,CDU/CSU,yes
6388,68382,Jan van Aken,Die Linke,no
6388,68944,Aaron Valent,Die Linke,no
6388,68943,Martina Uhr,AfD,no
6388,68942,Katrin Uhlig,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68941,Derya Türk-Nachbaur,SPD,no_show
6388,68938,Anja Troff-Schaffarzyk,SPD,yes
6388,68937,Bastian Treuheit,AfD,no
6388,68939,Carsten Träger,SPD,yes
6388,68936,Gerhard Trabert,Die Linke,no_show
6388,68940,Markus Töns,SPD,yes
6388,68935,Astrid Timmermann-Fechter,CDU/CSU,yes
6388,68934,Alexander Throm,CDU/CSU,yes
6388,68933,Ulrich Thoden,Die Linke,no
6388,68932,Michael Thews,SPD,yes
6388,68931,Hans Theiss,CDU/CSU,yes
6388,68930,Roland Theis,CDU/CSU,yes
6388,68929,Robert Teske,AfD,no
6388,68928,Awet Tesfaiesus,BÜNDNIS 90/­DIE GRÜNEN,no_show
6388,68927,Tobias Teich,AfD,no
6388,68926,Vivian Tauschwitz,CDU/CSU,yes
6388,68844,Kassem Taher Saleh,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68925,Ruppert Stüwe,SPD,yes
6388,68924,Christina Stumpp,CDU/CSU,no_show
6388,68923,Hendrik Streeck,CDU/CSU,yes
6388,68921,Katja Strauss-Köster,CDU/CSU,yes
6388,68922,Otto Strauß,AfD,no
6388,68920,Stephan Stracke,CDU/CSU,yes
6388,68918,Dieter Stier,CDU/CSU,yes
6388,68916,Thomas Stephan,AfD,no
6388,68915,Hanna Steinmüller,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68914,Johannes Steiniger,CDU/CSU,yes
6388,68913,Sebastian Steineke,CDU/CSU,yes
6388,68912,Sandra Stein,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68911,Ralf Stegner,SPD,yes
6388,68910,Albert Stegemann,CDU/CSU,yes
6388,68909,Wolfgang Stefinger,CDU/CSU,yes
6388,68908,Till Steffen,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68907,Julia-Christina Stange,Die Linke,no
6388,68906,Katrin Staffler,CDU/CSU,yes
6388,68905,Svenja Stadler,SPD,yes
6388,68904,René Springer,AfD,no
6388,68903,Jens Spahn,CDU/CSU,yes
6388,68902,Tino Sorge,CDU/CSU,yes
6388,68901,Nyke Slawik,BÜNDNIS 90/­DIE GRÜNEN,yes
6388,68900,Björn Simon,CDU/CSU,yes
6388,68899,Thomas Silberhorn,CDU/CSU,yes
6388,68898,Martin Sichert,AfD,no
6388,68897,Lina Seitzl,SPD,yes
6388,68896,Nora Seitz,CDU/CSU,yes
6388,68895,Dario Seifert,AfD,no
6388,68894,Detlef Seif,CDU/CSU,yes
6388,68893,Stefan Seidler,fraktionslos,yes
6388,68887,Ines Schwerdtner,Die Linke,no
6388,68886,Rita Schwarzelühr-Sutter,SPD,yes
6388,68885,Andreas Schwarz,SPD,yes
6388,68884,Stefan Schwartze,SPD,yes
6388,68883,Frank Schwabe,SPD,yes
6388,68882,Svenja Schulze,SPD,yes
6388,68881,Uwe Schulz,AfD,no_show
6388,68880,Marvin Schulz,CDU/CSU,yes
6388,68879,Bernd Schuhmann,AfD,no
6388,69045,Lisa Schubert,Die Linke,no
