poll_id,mandate_id,politician,fraction,vote
5496,54095,Uwe Witt,fraktionslos,no_show
5496,53719,Thomas Seitz,fraktionslos,no_show
5496,54098,Stefan Seidler,fraktionslos,yes
5496,53620,Johannes Huber,fraktionslos,no
5496,53406,Matthias Helferich,fraktionslos,no
5496,53779,Robert Farle,fraktionslos,no
5496,53544,Joana Cotar,fraktionslos,no
5496,53436,Sahra Wagenknecht,BSW (Gruppe),no
5496,53591,Alexander Ulrich,BSW (Gruppe),no
5496,53723,Jessica Tatti,BSW (Gruppe),no
5496,53993,Zaklin Nastić,BSW (Gruppe),no
5496,53481,Amira Mohamed Ali,BSW (Gruppe),no
5496,53440,Christian Leye,BSW (Gruppe),no
5496,53438,Andrej Hunko,BSW (Gruppe),no
5496,53657,Klaus Ernst,BSW (Gruppe),no_show
5496,53437,Sevim Dağdelen,BSW (Gruppe),no
5496,54115,Ali Al-Dailami,BSW (Gruppe),no
5496,54114,Janine Wissler,Die Linke. (Gruppe),no_show
5496,53439,Kathrin Vogler,Die Linke. (Gruppe),yes
5496,53504,Petra Sitte,Die Linke. (Gruppe),yes
5496,53721,Bernd Riexinger,Die Linke. (Gruppe),yes
5496,53566,Martina Renner,Die Linke. (Gruppe),yes
5496,53483,Heidi Reichinnek,Die Linke. (Gruppe),yes
5496,53482,Victor Perli,Die Linke. (Gruppe),abstain
5496,53856,Sören Pellmann,Die Linke. (Gruppe),yes
5496,54105,Petra Pau,Die Linke. (Gruppe),yes
5496,54097,Cornelia Möhring,Die Linke. (Gruppe),no_show
5496,53791,Gesine Lötzsch,Die Linke. (Gruppe),yes
5496,53565,Ralph Lenkert,Die Linke. (Gruppe),yes
5496,53521,Caren Lay,Die Linke. (Gruppe),yes
5496,53987,Ina Latendorf,Die Linke. (Gruppe),yes
5496,53503,Jan Korte,Die Linke. (Gruppe),yes
5496,53564,Susanne Hennig-Wellsow,Die Linke. (Gruppe),yes
5496,53522,André Hahn,Die Linke. (Gruppe),abstain
5496,53789,Gregor Gysi,Die Linke. (Gruppe),no_show
5496,53659,Ates Gürpinar,Die Linke. (Gruppe),no_show
5496,53495,Christian Görke,Die Linke. (Gruppe),yes
